#@ TextLoader{
#@   header+
#@   sep=comma
#@   col=ID_Cliente:R4:0
#@   col=Features:R4:1-12
#@ }
ID_Cliente,Edad_ZScore,Ingreso_Mensual_USD_ZScore,Frecuencia_Compra_mensual_ZScore,Genero_Encoded.F,Genero_Encoded.M,Producto_Preferido_Encoded.Moda,Producto_Preferido_Encoded.Electrónica,Producto_Preferido_Encoded.Alimentos,Region_Encoded.Europa,Region_Encoded.Norteamérica,Region_Encoded.Sudamérica,Region_Encoded.Asia
1,1.3412127,1.2713647,1.0743445,1,0,1,0,0,1,0,0,0
2,1.0816232,0.8726059,0.7162297,0,1,0,1,0,0,1,0,0
3,0.7355038,1.5163236,1.6115167,0,1,1,0,0,0,1,0,0
4,0.49754667,1.0835047,0.53717226,1,0,0,0,1,0,0,1,0
5,0.45428175,1.1109474,0.7162297,1,0,0,0,1,0,0,0,1
6,0.9499055,0.7155734,1.253402,1,0,1,0,0,0,0,1,0
7,1.4061102,0.8280108,1.253402,0,1,0,0,1,0,0,0,1
8,1.3844777,0.76481396,0.7162297,1,0,1,0,0,1,0,0,0
9,0.9518284,1.0210986,1.0743445,1,0,0,0,1,0,0,1,0
10,0.69223887,1.2039757,0.53717226,0,1,0,1,0,0,1,0,0
11,0.49754667,1.114127,1.0743445,1,0,0,1,0,1,0,0,0
12,1.3844777,0.96130604,0.35811484,0,1,1,0,0,0,1,0,0
13,0.6706064,0.6988841,1.4324594,0,1,1,0,0,1,0,0,0
14,0.9499055,0.96130604,0.35811484,1,0,1,0,0,0,0,1,0
15,1.211418,0.5681296,1.253402,1,0,0,0,1,0,0,0,1
16,0.5624441,0.96130604,1.6115167,1,0,1,0,0,1,0,0,0
17,0.930196,1.4110363,0.17905742,1,0,0,1,0,0,0,0,1
18,0.71387136,0.839373,1.4324594,1,0,0,0,1,1,0,0,0
19,0.4759142,0.7268098,1.253402,1,0,1,0,0,0,1,0,0
20,1.49264,0.28786653,1.0743445,0,1,0,0,1,0,1,0,0
21,0.5840765,0.72350436,1.0743445,0,1,0,0,1,1,0,0,0
22,1.4493752,0.92469865,1.0743445,1,0,1,0,0,0,0,0,1
23,0.43264928,0.54349273,1.6115167,0,1,0,0,1,0,0,1,0
24,0.64897394,0.9056734,0.35811484,1,0,0,1,0,0,0,1,0
25,1.2979479,0.96130604,0.17905742,0,1,0,1,0,0,1,0,0
26,1.4277427,0.7585902,1.0743445,0,1,0,0,1,0,0,1,0
27,1.0167258,0.68048096,1.4324594,0,1,1,0,0,0,1,0,0
28,1.3412127,0.6207517,0.53717226,1,0,0,0,1,0,0,1,0
29,0.49754667,0.6148423,0.17905742,0,1,0,1,0,1,0,0,0
30,0.7355038,1.1698296,1.6115167,1,0,0,0,1,0,1,0,0
31,1.3412127,1.008724,0.17905742,0,1,0,0,1,0,1,0,0
32,1.4710076,1.30922,0.53717226,0,1,0,1,0,1,0,0,0
33,0.7787687,1.6609317,1.4324594,0,1,0,0,1,0,1,0,0
34,1.2763155,0.38699287,0.53717226,0,1,0,0,1,0,0,1,0
35,1.1248882,1.1183788,0.7162297,0,1,1,0,0,0,0,1,0
36,1.3628453,0.96130604,1.4324594,1,0,1,0,0,0,1,0,0
