#@ TextLoader{
#@   header+
#@   sep=comma
#@   col=ID_Vivienda:R4:0
#@   col=Features:R4:1-9
#@ }
ID_Vivienda,Numero_de_Habitaciones_ZScore,Tamaño_m2_ZScore,Coste_USD_ZScore,Ubicacion_Encoded.Rural,Ubicacion_Encoded.Centro,Ubicacion_Encoded.Suburbios,Tipo_de_Vivienda_Encoded.Casa,Tipo_de_Vivienda_Encoded.Dúplex,Tipo_de_Vivienda_Encoded.Apartamento
101,1.1862596,0.9417206,0.97777325,1,0,0,1,0,0
102,1.4828246,1.6812,1.2429007,0,1,0,1,0,0
103,0.8896947,0.8639876,0.90395653,0,0,1,0,1,0
104,1.4828246,1.0160071,0.82521325,0,1,0,0,1,0
105,1.4828246,0.9124861,0.94759977,1,0,0,0,1,0
106,0.5931298,0.56357986,1.4821602,1,0,0,1,0,0
107,0.8896947,0.954155,1.0284945,0,0,1,1,0,0
108,0.8896947,1.1546094,1.1463487,0,1,0,0,1,0
109,0.8896947,1.166611,0.8866681,1,0,0,0,1,0
110,1.4828246,0.6433439,0.94815725,0,0,1,1,0,0
111,1.1862596,1.3548813,1.0850414,1,0,0,0,1,0
112,0.8896947,0.49181688,0.96338,1,0,0,0,0,1
113,1.4828246,1.1037722,0.49093032,0,1,0,1,0,0
114,0.5931298,1.5972507,1.2329255,1,0,0,0,1,0
115,1.1862596,0.6183561,0.7903145,0,1,0,1,0,0
116,0.5931298,0.7489575,0.97777325,1,0,0,0,0,1
117,1.1862596,0.9538452,1.0943075,0,0,1,1,0,0
118,1.4828246,0.768283,0.95050985,1,0,0,1,0,0
119,0.2965649,0.44602638,1.036515,0,1,0,1,0,0
120,1.1862596,0.954155,0.90860623,0,1,0,1,0,0
121,0.5931298,0.59626096,0.8203642,0,0,1,0,0,1
122,1.4828246,1.0689368,0.98240983,1,0,0,1,0,0
123,1.1862596,0.6402666,1.1405705,1,0,0,1,0,0
124,0.2965649,0.954155,0.82547826,0,0,1,0,1,0
125,0.2965649,0.6821797,0.78865594,1,0,0,1,0,0
126,0.8896947,0.8241055,0.85093766,1,0,0,0,1,0
127,0.8896947,1.1735656,0.97777325,0,1,0,0,0,1
128,0.5931298,0.54443896,1.273087,1,0,0,0,0,1
129,1.1862596,0.99317336,1.0184636,1,0,0,0,0,1
130,1.1862596,1.3254621,1.0696667,0,0,1,0,0,1
131,0.8896947,0.42854717,0.7869133,0,0,1,0,1,0
132,1.1862596,0.9800024,1.1386477,0,1,0,1,0,0
133,1.1862596,1.0031439,1.062761,1,0,0,0,0,1
134,0.2965649,1.1637799,0.7681348,1,0,0,1,0,0
135,0.8896947,0.542531,0.5165449,1,0,0,0,1,0
136,1.4828246,0.5168662,0.64895433,0,1,0,0,1,0
137,0.8896947,1.0838312,0.77769023,0,1,0,0,1,0
138,1.4828246,1.0145916,1.2052335,0,0,1,0,0,1
139,0.2965649,1.0002512,1.2965078,0,1,0,1,0,0
140,0.5931298,1.0297935,0.83131814,1,0,0,1,0,0
141,1.1862596,0.954155,0.83869684,1,0,0,1,0,0
142,0.2965649,0.954155,0.99502385,0,1,0,0,1,0
143,1.1862596,1.0133605,0.97777325,1,0,0,0,0,1
144,0.5931298,0.7033516,1.1512977,1,0,0,0,1,0
145,0.5931298,1.497361,0.8117824,0,1,0,0,1,0
146,0.2965649,1.0689985,1.1555493,0,1,0,1,0,0
147,0.5931298,0.5565636,0.8780835,1,0,0,0,1,0
148,1.4828246,1.1252519,1.1333289,1,0,0,1,0,0
149,0.5931298,0.954155,0.87065506,1,0,0,0,0,1
150,1.1862596,1.1653801,0.7907906,0,0,1,1,0,0
151,1.1862596,1.2797331,1.3804357,0,0,1,0,0,1
152,1.1862596,0.6706705,1.1826531,0,0,1,1,0,0
153,1.1862596,1.2196639,0.5155237,0,1,0,0,1,0
154,1.4828246,1.0502268,0.829624,0,0,1,0,1,0
155,0.8896947,0.954155,1.2152699,0,1,0,0,0,1
156,0.2965649,1.5069007,0.65453696,0,1,0,0,0,1
157,1.1862596,0.84767777,1.1138805,0,0,1,0,0,1
158,0.5931298,0.69122696,1.0896863,0,0,1,1,0,0
159,1.1862596,0.649437,0.7706988,0,0,1,1,0,0
160,0.5931298,0.67214763,0.93188024,1,0,0,0,0,1
161,0.5931298,0.89943826,0.44595164,0,0,1,0,1,0
162,1.1862596,1.0281932,0.97777325,1,0,0,1,0,0
163,1.4828246,1.0083138,0.86177045,0,1,0,1,0,0
164,0.5931298,1.1777508,1.1216168,1,0,0,1,0,0
165,0.5931298,0.92719567,1.0772613,0,0,1,0,0,1
166,1.1862596,1.3705139,0.97777325,0,1,0,0,0,1
167,0.5931298,0.8417694,0.8327691,0,1,0,0,0,1
168,0.5931298,1.760287,0.98152834,0,1,0,0,0,1
169,1.1862596,1.1157122,1.0644822,1,0,0,0,0,1
170,1.1862596,0.65940756,1.137664,0,0,1,0,1,0
171,0.2965649,0.59367603,1.203463,0,1,0,0,1,0
172,1.4828246,1.0716449,0.82247746,0,1,0,0,0,1
173,1.4828246,0.8544479,0.77885187,0,1,0,1,0,0
174,0.5931298,1.1429156,1.251504,1,0,0,0,0,1
175,1.4828246,1.0688138,0.45831275,1,0,0,0,1,0
176,0.5931298,0.954155,1.3005174,0,0,1,0,1,0
177,0.2965649,0.66260797,0.8633508,1,0,0,1,0,0
178,1.1862596,0.45704317,0.9328735,0,1,0,0,1,0
179,1.1862596,0.7857622,0.77462226,0,0,1,0,0,1
180,1.1862596,0.954155,0.922686,0,1,0,1,0,0
181,1.4828246,0.98904973,1.2307302,0,1,0,0,0,1
182,0.2965649,0.539823,1.1139235,1,0,0,0,0,1
183,1.4828246,0.9764943,1.0489736,0,0,1,1,0,0
184,1.4828246,1.041795,0.9546893,1,0,0,0,0,1
185,0.2965649,0.6512219,0.596411,1,0,0,0,1,0
186,0.2965649,0.9705243,0.97777325,0,0,1,0,0,1
187,0.2965649,0.9411052,0.85380656,0,1,0,1,0,0
188,0.2965649,0.5714578,1.0407993,0,1,0,1,0,0
189,1.1862596,1.0333016,0.95020163,0,0,1,1,0,0
190,0.8896947,1.0957711,1.1635721,0,1,0,0,0,1
191,0.8896947,1.2564687,1.0445236,0,0,1,1,0,0
192,0.2965649,1.2474829,0.97777325,0,0,1,1,0,0
193,0.8896947,0.49926397,1.4652942,1,0,0,0,0,1
194,0.8896947,0.6346044,0.97777325,0,0,1,0,1,0
195,0.2965649,1.081677,0.8330869,1,0,0,0,0,1
196,0.8896947,0.954155,1.3682127,0,1,0,1,0,0
197,1.4828246,1.081677,0.97777325,0,1,0,1,0,0
198,0.5931298,2.108824,1.3579675,0,1,0,0,0,1
199,0.5931298,1.0988485,0.90803796,0,1,0,0,1,0
200,0.2965649,1.2726554,1.161892,1,0,0,1,0,0
